ID,Produto,Categoria,Preço,Quantidade,Data_Venda,Vendedor
2769,Produto B,Categoria 2,85.07,9,2030-07-31,Vendedor 3
2770,Produto B,Categoria 2,10.73,19,2030-08-01,Vendedor 2
2771,Produto A,Categoria 2,29.18,10,2030-08-02,Vendedor 1
2772,Produto B,Categoria 1,65.45,15,2030-08-03,Vendedor 1
2773,Produto B,Categoria 3,43.77,1,2030-08-04,Vendedor 2
2774,Produto B,Categoria 2,98.58,11,2030-08-05,Vendedor 2
2775,Produto A,Categoria 1,12.73,14,2030-08-06,Vendedor 1
2776,Produto C,Categoria 2,99.87,10,2030-08-07,Vendedor 3
2777,Produto B,Categoria 2,66.13,19,2030-08-08,Vendedor 3
2778,Produto A,Categoria 3,60.28,16,2030-08-09,Vendedor 2
2779,Produto A,Categoria 2,15.36,8,2030-08-10,Vendedor 3
2780,Produto C,Categoria 2,34.6,2,2030-08-11,Vendedor 3
2781,Produto B,Categoria 1,93.22,7,2030-08-12,Vendedor 1
2782,Produto B,Categoria 1,41.88,19,2030-08-13,Vendedor 3
2783,Produto C,Categoria 3,69.55,7,2030-08-14,Vendedor 1
2784,Produto C,Categoria 1,99.95,15,2030-08-15,Vendedor 2
2785,Produto A,Categoria 1,33.68,8,2030-08-16,Vendedor 2
2786,Produto A,Categoria 3,61.85,14,2030-08-17,Vendedor 1
2787,Produto C,Categoria 2,72.68,1,2030-08-18,Vendedor 1
2788,Produto B,Categoria 3,24.82,13,2030-08-19,Vendedor 2
2789,Produto A,Categoria 1,23.38,3,2030-08-20,Vendedor 1
2790,Produto A,Categoria 3,51.07,6,2030-08-21,Vendedor 2
2791,Produto B,Categoria 2,44.72,19,2030-08-22,Vendedor 2
2792,Produto A,Categoria 3,74.28,15,2030-08-23,Vendedor 2
2793,Produto B,Categoria 1,16.26,4,2030-08-24,Vendedor 2
2794,Produto B,Categoria 1,97.49,3,2030-08-25,Vendedor 2
2795,Produto B,Categoria 3,11.28,4,2030-08-26,Vendedor 2
2796,Produto C,Categoria 2,64.12,5,2030-08-27,Vendedor 3
2797,Produto C,Categoria 3,60.64,18,2030-08-28,Vendedor 3
2798,Produto C,Categoria 2,22.12,10,2030-08-29,Vendedor 2
2799,Produto B,Categoria 2,23.58,8,2030-08-30,Vendedor 3
2800,Produto B,Categoria 3,81.34,12,2030-08-31,Vendedor 1
2801,Produto C,Categoria 2,89.88,3,2030-09-01,Vendedor 1
2802,Produto A,Categoria 1,35.47,18,2030-09-02,Vendedor 2
2803,Produto B,Categoria 3,49.42,8,2030-09-03,Vendedor 3
2804,Produto A,Categoria 2,41.95,1,2030-09-04,Vendedor 1
2805,Produto A,Categoria 1,16.53,14,2030-09-05,Vendedor 1
2806,Produto B,Categoria 3,70.59,13,2030-09-06,Vendedor 1
2807,Produto B,Categoria 1,84.27,12,2030-09-07,Vendedor 1
2808,Produto A,Categoria 1,37.44,3,2030-09-08,Vendedor 3
2809,Produto A,Categoria 1,99.12,18,2030-09-09,Vendedor 1
2810,Produto C,Categoria 2,16.83,13,2030-09-10,Vendedor 1
2811,Produto C,Categoria 3,69.56,15,2030-09-11,Vendedor 1
2812,Produto B,Categoria 3,50.34,10,2030-09-12,Vendedor 2
2813,Produto C,Categoria 2,50.19,1,2030-09-13,Vendedor 1
2814,Produto C,Categoria 3,51.19,6,2030-09-14,Vendedor 1
2815,Produto C,Categoria 1,33.28,9,2030-09-15,Vendedor 3
2816,Produto C,Categoria 3,74.4,10,2030-09-16,Vendedor 1
2817,Produto A,Categoria 2,74.94,15,2030-09-17,Vendedor 1
2818,Produto B,Categoria 1,35.42,9,2030-09-18,Vendedor 1
2819,Produto C,Categoria 2,85.18,14,2030-09-19,Vendedor 2
2820,Produto A,Categoria 1,38.52,11,2030-09-20,Vendedor 3
2821,Produto A,Categoria 1,75.26,7,2030-09-21,Vendedor 3
2822,Produto A,Categoria 3,20.89,2,2030-09-22,Vendedor 2
2823,Produto C,Categoria 1,25.18,14,2030-09-23,Vendedor 2
2824,Produto C,Categoria 2,38.42,6,2030-09-24,Vendedor 3
2825,Produto B,Categoria 3,63.45,5,2030-09-25,Vendedor 1
2826,Produto C,Categoria 2,68.1,5,2030-09-26,Vendedor 3
2827,Produto C,Categoria 1,45.67,19,2030-09-27,Vendedor 2
2828,Produto A,Categoria 2,17.01,19,2030-09-28,Vendedor 1
2829,Produto B,Categoria 2,43.63,6,2030-09-29,Vendedor 3
2830,Produto C,Categoria 1,71.99,10,2030-09-30,Vendedor 1
2831,Produto C,Categoria 3,70.39,14,2030-10-01,Vendedor 1
2832,Produto A,Categoria 2,24.42,17,2030-10-02,Vendedor 2
2833,Produto A,Categoria 1,10.7,3,2030-10-03,Vendedor 3
2834,Produto C,Categoria 3,77.77,1,2030-10-04,Vendedor 2
2835,Produto B,Categoria 3,19.57,10,2030-10-05,Vendedor 3
2836,Produto B,Categoria 3,17.41,3,2030-10-06,Vendedor 3
2837,Produto A,Categoria 2,10.24,5,2030-10-07,Vendedor 1
2838,Produto A,Categoria 2,48.93,19,2030-10-08,Vendedor 1
2839,Produto C,Categoria 2,55.29,10,2030-10-09,Vendedor 1
2840,Produto A,Categoria 3,67.39,16,2030-10-10,Vendedor 2
2841,Produto C,Categoria 2,36.65,1,2030-10-11,Vendedor 1
2842,Produto B,Categoria 1,73.94,6,2030-10-12,Vendedor 2
2843,Produto B,Categoria 2,25.24,9,2030-10-13,Vendedor 1
2844,Produto C,Categoria 2,84.88,5,2030-10-14,Vendedor 2
2845,Produto A,Categoria 3,61.47,14,2030-10-15,Vendedor 3
2846,Produto B,Categoria 2,62.55,10,2030-10-16,Vendedor 2
2847,Produto A,Categoria 1,28.88,2,2030-10-17,Vendedor 2
2848,Produto B,Categoria 3,16.67,5,2030-10-18,Vendedor 2
2849,Produto C,Categoria 1,51.83,1,2030-10-19,Vendedor 3
2850,Produto C,Categoria 3,65.41,10,2030-10-20,Vendedor 2
2851,Produto C,Categoria 3,18.55,9,2030-10-21,Vendedor 3
2852,Produto B,Categoria 2,95.55,3,2030-10-22,Vendedor 1
2853,Produto A,Categoria 1,98.24,15,2030-10-23,Vendedor 1
2854,Produto A,Categoria 3,59.09,4,2030-10-24,Vendedor 3
2855,Produto A,Categoria 2,95.51,13,2030-10-25,Vendedor 2
2856,Produto B,Categoria 3,26.15,6,2030-10-26,Vendedor 1
2857,Produto B,Categoria 3,12.29,17,2030-10-27,Vendedor 2
2858,Produto B,Categoria 3,13.55,5,2030-10-28,Vendedor 2
2859,Produto B,Categoria 3,62.88,15,2030-10-29,Vendedor 3
2860,Produto B,Categoria 3,15.55,8,2030-10-30,Vendedor 1
2861,Produto A,Categoria 3,96.27,5,2030-10-31,Vendedor 3
2862,Produto B,Categoria 2,22.77,13,2030-11-01,Vendedor 3
2863,Produto B,Categoria 3,37.43,1,2030-11-02,Vendedor 3
2864,Produto A,Categoria 1,84.03,1,2030-11-03,Vendedor 3
2865,Produto B,Categoria 2,29.69,7,2030-11-04,Vendedor 2
2866,Produto A,Categoria 1,31.87,5,2030-11-05,Vendedor 1
2867,Produto A,Categoria 3,67.81,14,2030-11-06,Vendedor 1
2868,Produto C,Categoria 1,34.85,15,2030-11-07,Vendedor 1
2869,Produto C,Categoria 3,29.57,17,2030-11-08,Vendedor 2
2870,Produto C,Categoria 3,32.88,18,2030-11-09,Vendedor 2
2871,Produto C,Categoria 2,54.16,7,2030-11-10,Vendedor 3
2872,Produto B,Categoria 2,96.95,18,2030-11-11,Vendedor 3
2873,Produto C,Categoria 3,84.9,19,2030-11-12,Vendedor 3
2874,Produto A,Categoria 2,35.61,7,2030-11-13,Vendedor 3
2875,Produto B,Categoria 1,42.7,8,2030-11-14,Vendedor 1
2876,Produto C,Categoria 2,51.81,13,2030-11-15,Vendedor 3
2877,Produto A,Categoria 2,98.1,18,2030-11-16,Vendedor 2
2878,Produto B,Categoria 1,25.52,11,2030-11-17,Vendedor 2
2879,Produto B,Categoria 2,42.17,9,2030-11-18,Vendedor 2
2880,Produto C,Categoria 3,75.65,1,2030-11-19,Vendedor 3
2881,Produto B,Categoria 1,96.75,8,2030-11-20,Vendedor 1
2882,Produto A,Categoria 3,24.01,12,2030-11-21,Vendedor 1
2883,Produto B,Categoria 1,30.46,2,2030-11-22,Vendedor 3
2884,Produto A,Categoria 3,30.31,15,2030-11-23,Vendedor 3
2885,Produto B,Categoria 3,11.88,18,2030-11-24,Vendedor 2
2886,Produto C,Categoria 2,64.37,17,2030-11-25,Vendedor 2
2887,Produto A,Categoria 3,70.36,15,2030-11-26,Vendedor 1
2888,Produto B,Categoria 2,64.23,9,2030-11-27,Vendedor 2
2889,Produto B,Categoria 1,16.42,3,2030-11-28,Vendedor 2
2890,Produto B,Categoria 3,16.23,19,2030-11-29,Vendedor 3
2891,Produto A,Categoria 3,28.93,18,2030-11-30,Vendedor 1
2892,Produto A,Categoria 1,36.13,8,2030-12-01,Vendedor 3
2893,Produto A,Categoria 1,80.79,1,2030-12-02,Vendedor 1
2894,Produto C,Categoria 3,24.35,15,2030-12-03,Vendedor 3
2895,Produto C,Categoria 1,13.97,19,2030-12-04,Vendedor 1
2896,Produto A,Categoria 2,45.46,10,2030-12-05,Vendedor 2
2897,Produto B,Categoria 1,47.48,12,2030-12-06,Vendedor 1
2898,Produto C,Categoria 1,50.58,6,2030-12-07,Vendedor 1
2899,Produto A,Categoria 3,84.42,13,2030-12-08,Vendedor 3
2900,Produto B,Categoria 2,18.82,4,2030-12-09,Vendedor 1
2901,Produto C,Categoria 1,73.35,13,2030-12-10,Vendedor 1
2902,Produto B,Categoria 2,40.42,17,2030-12-11,Vendedor 1
2903,Produto B,Categoria 2,37.9,1,2030-12-12,Vendedor 3
2904,Produto B,Categoria 2,93.93,5,2030-12-13,Vendedor 1
2905,Produto B,Categoria 3,32.36,17,2030-12-14,Vendedor 3
2906,Produto C,Categoria 1,67.83,18,2030-12-15,Vendedor 2
2907,Produto C,Categoria 3,34.76,7,2030-12-16,Vendedor 3
2908,Produto C,Categoria 1,55.64,16,2030-12-17,Vendedor 1
2909,Produto A,Categoria 1,80.77,8,2030-12-18,Vendedor 2
2910,Produto C,Categoria 3,89.36,12,2030-12-19,Vendedor 1
2911,Produto B,Categoria 2,85.48,14,2030-12-20,Vendedor 3
2912,Produto C,Categoria 2,62.4,19,2030-12-21,Vendedor 2
2913,Produto B,Categoria 1,32.39,11,2030-12-22,Vendedor 2
2914,Produto A,Categoria 3,69.51,12,2030-12-23,Vendedor 2
2915,Produto B,Categoria 2,73.89,13,2030-12-24,Vendedor 1
2916,Produto B,Categoria 2,10.96,8,2030-12-25,Vendedor 2
2917,Produto B,Categoria 1,49.53,1,2030-12-26,Vendedor 2
2918,Produto A,Categoria 1,85.89,9,2030-12-27,Vendedor 2
2919,Produto C,Categoria 3,54.06,2,2030-12-28,Vendedor 2
2920,Produto C,Categoria 1,38.02,14,2030-12-29,Vendedor 3
2921,Produto A,Categoria 2,88.46,13,2030-12-30,Vendedor 1
2922,Produto B,Categoria 2,24.03,16,2030-12-31,Vendedor 1
2923,Produto C,Categoria 2,28.58,2,2031-01-01,Vendedor 2
2924,Produto A,Categoria 2,71.86,4,2031-01-02,Vendedor 3
2925,Produto C,Categoria 3,41.72,12,2031-01-03,Vendedor 2
2926,Produto A,Categoria 3,74.17,16,2031-01-04,Vendedor 1
2927,Produto B,Categoria 1,24.19,10,2031-01-05,Vendedor 1
2928,Produto C,Categoria 1,32.7,3,2031-01-06,Vendedor 1
2929,Produto A,Categoria 1,24.1,4,2031-01-07,Vendedor 2
2930,Produto C,Categoria 3,95.76,6,2031-01-08,Vendedor 2
2931,Produto C,Categoria 2,46.49,5,2031-01-09,Vendedor 3
2932,Produto C,Categoria 1,40.35,18,2031-01-10,Vendedor 3
2933,Produto C,Categoria 2,11.28,3,2031-01-11,Vendedor 1
2934,Produto A,Categoria 1,23.81,10,2031-01-12,Vendedor 1
2935,Produto B,Categoria 1,47.9,11,2031-01-13,Vendedor 3
2936,Produto A,Categoria 1,16.17,19,2031-01-14,Vendedor 1
2937,Produto A,Categoria 1,55.97,14,2031-01-15,Vendedor 3
2938,Produto A,Categoria 1,50.95,11,2031-01-16,Vendedor 2
2939,Produto B,Categoria 2,79.05,4,2031-01-17,Vendedor 1
2940,Produto C,Categoria 1,69.38,6,2031-01-18,Vendedor 1
2941,Produto C,Categoria 2,50.14,17,2031-01-19,Vendedor 3
2942,Produto C,Categoria 3,30.22,19,2031-01-20,Vendedor 2
2943,Produto B,Categoria 1,75.42,13,2031-01-21,Vendedor 1
2944,Produto C,Categoria 2,73.71,10,2031-01-22,Vendedor 1
2945,Produto B,Categoria 3,23.8,11,2031-01-23,Vendedor 3
2946,Produto C,Categoria 3,92.33,6,2031-01-24,Vendedor 2
2947,Produto C,Categoria 3,15.8,2,2031-01-25,Vendedor 3
2948,Produto A,Categoria 2,14.95,1,2031-01-26,Vendedor 2
2949,Produto B,Categoria 1,26.86,11,2031-01-27,Vendedor 2
2950,Produto A,Categoria 1,91.85,16,2031-01-28,Vendedor 3
2951,Produto A,Categoria 2,56.8,3,2031-01-29,Vendedor 3
2952,Produto A,Categoria 1,80.91,5,2031-01-30,Vendedor 2
2953,Produto B,Categoria 2,30.51,15,2031-01-31,Vendedor 3
2954,Produto B,Categoria 1,54.12,15,2031-02-01,Vendedor 1
2955,Produto C,Categoria 3,42.25,4,2031-02-02,Vendedor 1
2956,Produto A,Categoria 1,84.5,4,2031-02-03,Vendedor 1
2957,Produto C,Categoria 2,12.03,8,2031-02-04,Vendedor 1
2958,Produto A,Categoria 2,31.95,7,2031-02-05,Vendedor 1
2959,Produto B,Categoria 3,23.73,17,2031-02-06,Vendedor 3
2960,Produto B,Categoria 2,87.33,15,2031-02-07,Vendedor 2
2961,Produto B,Categoria 1,52.08,5,2031-02-08,Vendedor 3
2962,Produto A,Categoria 1,46.38,13,2031-02-09,Vendedor 1
2963,Produto B,Categoria 3,50.45,4,2031-02-10,Vendedor 1
2964,Produto A,Categoria 2,97.47,17,2031-02-11,Vendedor 3
2965,Produto C,Categoria 3,86.52,17,2031-02-12,Vendedor 3
2966,Produto A,Categoria 1,73.57,14,2031-02-13,Vendedor 2
2967,Produto C,Categoria 3,36.14,14,2031-02-14,Vendedor 1
2968,Produto A,Categoria 2,24.87,17,2031-02-15,Vendedor 3
2969,Produto C,Categoria 3,92.93,8,2031-02-16,Vendedor 2
2970,Produto B,Categoria 2,48.08,2,2031-02-17,Vendedor 1
2971,Produto C,Categoria 2,35.09,13,2031-02-18,Vendedor 1
2972,Produto B,Categoria 1,52.38,16,2031-02-19,Vendedor 1
2973,Produto B,Categoria 1,92.61,16,2031-02-20,Vendedor 3
2974,Produto C,Categoria 1,44.84,6,2031-02-21,Vendedor 1
2975,Produto A,Categoria 2,60.64,4,2031-02-22,Vendedor 1
2976,Produto A,Categoria 3,82.27,3,2031-02-23,Vendedor 2
2977,Produto A,Categoria 2,48.44,6,2031-02-24,Vendedor 3
2978,Produto A,Categoria 1,31.02,4,2031-02-25,Vendedor 2
2979,Produto A,Categoria 1,99.51,18,2031-02-26,Vendedor 3
2980,Produto B,Categoria 3,96.09,6,2031-02-27,Vendedor 1
2981,Produto A,Categoria 1,85.91,5,2031-02-28,Vendedor 2
2982,Produto B,Categoria 1,71.95,9,2031-03-01,Vendedor 3
2983,Produto B,Categoria 1,36.54,11,2031-03-02,Vendedor 3
2984,Produto B,Categoria 3,92.21,6,2031-03-03,Vendedor 1
2985,Produto C,Categoria 2,34.8,16,2031-03-04,Vendedor 1
2986,Produto C,Categoria 1,82.07,19,2031-03-05,Vendedor 2
2987,Produto B,Categoria 3,92.64,11,2031-03-06,Vendedor 2
2988,Produto C,Categoria 1,64.27,15,2031-03-07,Vendedor 3
2989,Produto A,Categoria 3,82.28,9,2031-03-08,Vendedor 2
2990,Produto A,Categoria 1,81.25,19,2031-03-09,Vendedor 1
2991,Produto B,Categoria 3,27.38,19,2031-03-10,Vendedor 2
2992,Produto A,Categoria 1,70.11,9,2031-03-11,Vendedor 2
2993,Produto B,Categoria 2,18.41,4,2031-03-12,Vendedor 3
2994,Produto B,Categoria 1,55.71,10,2031-03-13,Vendedor 1
2995,Produto A,Categoria 3,24.6,9,2031-03-14,Vendedor 3
2996,Produto C,Categoria 1,47.47,19,2031-03-15,Vendedor 1
2997,Produto A,Categoria 2,84.97,15,2031-03-16,Vendedor 1
2998,Produto A,Categoria 1,98.85,19,2031-03-17,Vendedor 3
2999,Produto B,Categoria 3,38.62,2,2031-03-18,Vendedor 2
3000,Produto B,Categoria 3,57.88,10,2031-03-19,Vendedor 3
3001,Produto B,Categoria 2,56.02,19,2031-03-20,Vendedor 2
3002,Produto B,Categoria 3,95.9,17,2031-03-21,Vendedor 3
3003,Produto C,Categoria 1,53.07,2,2031-03-22,Vendedor 3
3004,Produto C,Categoria 1,72.92,19,2031-03-23,Vendedor 2
3005,Produto C,Categoria 1,92.96,17,2031-03-24,Vendedor 2
3006,Produto B,Categoria 3,43.6,18,2031-03-25,Vendedor 2
3007,Produto B,Categoria 1,91.19,17,2031-03-26,Vendedor 3
3008,Produto B,Categoria 1,92.57,2,2031-03-27,Vendedor 2
3009,Produto C,Categoria 1,93.76,19,2031-03-28,Vendedor 2
3010,Produto B,Categoria 2,34.34,1,2031-03-29,Vendedor 2
3011,Produto A,Categoria 3,46.03,11,2031-03-30,Vendedor 1
3012,Produto A,Categoria 3,88.34,10,2031-03-31,Vendedor 2
3013,Produto B,Categoria 3,42.32,5,2031-04-01,Vendedor 2
3014,Produto A,Categoria 2,64.02,16,2031-04-02,Vendedor 2
3015,Produto A,Categoria 3,20.62,5,2031-04-03,Vendedor 1
3016,Produto C,Categoria 2,15.06,12,2031-04-04,Vendedor 1
3017,Produto B,Categoria 2,47.08,4,2031-04-05,Vendedor 2
3018,Produto B,Categoria 3,62.1,6,2031-04-06,Vendedor 2
3019,Produto C,Categoria 1,45.34,19,2031-04-07,Vendedor 2
3020,Produto A,Categoria 1,62.0,9,2031-04-08,Vendedor 2
3021,Produto A,Categoria 3,56.36,12,2031-04-09,Vendedor 1
3022,Produto B,Categoria 3,71.71,15,2031-04-10,Vendedor 2
3023,Produto A,Categoria 2,68.46,16,2031-04-11,Vendedor 1
3024,Produto C,Categoria 3,48.18,13,2031-04-12,Vendedor 3
3025,Produto C,Categoria 2,48.25,7,2031-04-13,Vendedor 1
3026,Produto B,Categoria 3,22.67,4,2031-04-14,Vendedor 3
3027,Produto C,Categoria 1,56.19,11,2031-04-15,Vendedor 1
3028,Produto C,Categoria 1,62.85,8,2031-04-16,Vendedor 1
3029,Produto B,Categoria 3,52.88,6,2031-04-17,Vendedor 1
3030,Produto C,Categoria 2,39.31,10,2031-04-18,Vendedor 2
3031,Produto C,Categoria 1,74.95,7,2031-04-19,Vendedor 1
3032,Produto C,Categoria 2,16.72,7,2031-04-20,Vendedor 2
3033,Produto A,Categoria 3,92.3,4,2031-04-21,Vendedor 1
3034,Produto B,Categoria 3,11.86,3,2031-04-22,Vendedor 1
3035,Produto B,Categoria 1,96.61,7,2031-04-23,Vendedor 3
3036,Produto B,Categoria 3,51.61,4,2031-04-24,Vendedor 1
3037,Produto A,Categoria 1,47.14,13,2031-04-25,Vendedor 2
3038,Produto A,Categoria 2,33.08,17,2031-04-26,Vendedor 3
3039,Produto B,Categoria 1,10.91,7,2031-04-27,Vendedor 3
3040,Produto A,Categoria 1,34.73,17,2031-04-28,Vendedor 1
3041,Produto B,Categoria 2,19.85,4,2031-04-29,Vendedor 1
3042,Produto A,Categoria 1,69.38,11,2031-04-30,Vendedor 3
3043,Produto C,Categoria 1,38.72,3,2031-05-01,Vendedor 2
3044,Produto C,Categoria 3,79.05,11,2031-05-02,Vendedor 1
3045,Produto B,Categoria 2,28.62,3,2031-05-03,Vendedor 3
3046,Produto A,Categoria 1,91.02,12,2031-05-04,Vendedor 2
3047,Produto A,Categoria 2,57.07,1,2031-05-05,Vendedor 1
3048,Produto C,Categoria 2,20.31,4,2031-05-06,Vendedor 3
3049,Produto C,Categoria 1,46.08,14,2031-05-07,Vendedor 3
3050,Produto A,Categoria 3,28.61,1,2031-05-08,Vendedor 1
3051,Produto A,Categoria 2,27.97,14,2031-05-09,Vendedor 2
3052,Produto A,Categoria 1,55.57,13,2031-05-10,Vendedor 2
3053,Produto A,Categoria 2,70.47,13,2031-05-11,Vendedor 3
3054,Produto A,Categoria 3,92.05,15,2031-05-12,Vendedor 2
3055,Produto A,Categoria 3,55.19,17,2031-05-13,Vendedor 3
3056,Produto B,Categoria 3,96.93,12,2031-05-14,Vendedor 1
3057,Produto A,Categoria 1,94.75,14,2031-05-15,Vendedor 2
3058,Produto C,Categoria 1,87.86,12,2031-05-16,Vendedor 1
3059,Produto B,Categoria 3,55.0,18,2031-05-17,Vendedor 3
3060,Produto A,Categoria 1,22.68,4,2031-05-18,Vendedor 1
3061,Produto C,Categoria 3,29.61,14,2031-05-19,Vendedor 2
3062,Produto B,Categoria 1,68.29,19,2031-05-20,Vendedor 1
3063,Produto C,Categoria 3,47.96,13,2031-05-21,Vendedor 2
3064,Produto A,Categoria 2,23.21,18,2031-05-22,Vendedor 2
3065,Produto A,Categoria 3,53.11,11,2031-05-23,Vendedor 2
3066,Produto A,Categoria 3,11.57,6,2031-05-24,Vendedor 2
3067,Produto A,Categoria 1,76.05,9,2031-05-25,Vendedor 2
3068,Produto B,Categoria 1,16.62,12,2031-05-26,Vendedor 3
3069,Produto B,Categoria 1,66.62,19,2031-05-27,Vendedor 1
3070,Produto C,Categoria 1,81.37,14,2031-05-28,Vendedor 3
3071,Produto A,Categoria 1,21.94,15,2031-05-29,Vendedor 1
3072,Produto C,Categoria 1,56.68,11,2031-05-30,Vendedor 1
3073,Produto B,Categoria 2,80.12,6,2031-05-31,Vendedor 1
3074,Produto A,Categoria 3,33.46,14,2031-06-01,Vendedor 3
3075,Produto A,Categoria 3,24.66,3,2031-06-02,Vendedor 2
3076,Produto B,Categoria 3,40.31,19,2031-06-03,Vendedor 2
3077,Produto B,Categoria 2,59.92,11,2031-06-04,Vendedor 3
3078,Produto B,Categoria 3,61.78,17,2031-06-05,Vendedor 2
3079,Produto B,Categoria 2,21.78,17,2031-06-06,Vendedor 1
3080,Produto B,Categoria 2,51.18,3,2031-06-07,Vendedor 2
3081,Produto A,Categoria 2,34.15,14,2031-06-08,Vendedor 2
3082,Produto B,Categoria 3,85.78,7,2031-06-09,Vendedor 2
3083,Produto A,Categoria 2,38.22,19,2031-06-10,Vendedor 1
3084,Produto A,Categoria 3,85.48,3,2031-06-11,Vendedor 2
3085,Produto B,Categoria 3,48.57,2,2031-06-12,Vendedor 2
3086,Produto B,Categoria 1,75.39,17,2031-06-13,Vendedor 2
3087,Produto A,Categoria 1,55.91,9,2031-06-14,Vendedor 3
3088,Produto B,Categoria 2,65.98,6,2031-06-15,Vendedor 3
3089,Produto B,Categoria 2,45.58,9,2031-06-16,Vendedor 2
3090,Produto B,Categoria 3,79.14,5,2031-06-17,Vendedor 3
3091,Produto C,Categoria 2,48.27,2,2031-06-18,Vendedor 3
3092,Produto A,Categoria 2,51.17,15,2031-06-19,Vendedor 1
3093,Produto C,Categoria 3,56.59,9,2031-06-20,Vendedor 3
3094,Produto B,Categoria 2,84.86,19,2031-06-21,Vendedor 3
3095,Produto C,Categoria 2,69.34,10,2031-06-22,Vendedor 2
3096,Produto B,Categoria 3,41.42,4,2031-06-23,Vendedor 1
3097,Produto C,Categoria 3,70.33,10,2031-06-24,Vendedor 1
3098,Produto B,Categoria 1,67.82,8,2031-06-25,Vendedor 1
3099,Produto C,Categoria 3,93.79,13,2031-06-26,Vendedor 3
3100,Produto C,Categoria 1,85.73,7,2031-06-27,Vendedor 2
3101,Produto C,Categoria 2,68.27,7,2031-06-28,Vendedor 1
3102,Produto A,Categoria 3,40.74,4,2031-06-29,Vendedor 1
3103,Produto C,Categoria 3,80.16,15,2031-06-30,Vendedor 3
3104,Produto A,Categoria 3,61.77,12,2031-07-01,Vendedor 1
3105,Produto B,Categoria 2,98.67,16,2031-07-02,Vendedor 2
3106,Produto C,Categoria 1,32.28,6,2031-07-03,Vendedor 1
3107,Produto B,Categoria 2,17.17,9,2031-07-04,Vendedor 2
3108,Produto B,Categoria 2,16.29,3,2031-07-05,Vendedor 2
3109,Produto C,Categoria 3,67.6,8,2031-07-06,Vendedor 2
3110,Produto A,Categoria 1,94.53,7,2031-07-07,Vendedor 3
3111,Produto C,Categoria 2,10.17,4,2031-07-08,Vendedor 3
3112,Produto B,Categoria 3,75.32,13,2031-07-09,Vendedor 2
3113,Produto B,Categoria 2,69.14,19,2031-07-10,Vendedor 2
3114,Produto C,Categoria 2,75.91,7,2031-07-11,Vendedor 1
3115,Produto A,Categoria 3,41.99,10,2031-07-12,Vendedor 1
3116,Produto A,Categoria 3,83.84,12,2031-07-13,Vendedor 1
3117,Produto B,Categoria 1,14.02,3,2031-07-14,Vendedor 3
3118,Produto B,Categoria 2,77.99,12,2031-07-15,Vendedor 1
3119,Produto A,Categoria 3,34.04,19,2031-07-16,Vendedor 2
3120,Produto C,Categoria 3,52.92,15,2031-07-17,Vendedor 2
3121,Produto B,Categoria 1,84.04,8,2031-07-18,Vendedor 3
3122,Produto A,Categoria 1,34.42,12,2031-07-19,Vendedor 3
3123,Produto B,Categoria 3,26.67,6,2031-07-20,Vendedor 1
3124,Produto C,Categoria 1,71.32,10,2031-07-21,Vendedor 3
3125,Produto A,Categoria 3,58.01,2,2031-07-22,Vendedor 2
3126,Produto B,Categoria 2,56.3,13,2031-07-23,Vendedor 2
3127,Produto C,Categoria 1,33.11,7,2031-07-24,Vendedor 3
3128,Produto B,Categoria 2,13.14,8,2031-07-25,Vendedor 2
3129,Produto C,Categoria 2,46.92,16,2031-07-26,Vendedor 3
3130,Produto C,Categoria 2,19.59,11,2031-07-27,Vendedor 2
3131,Produto A,Categoria 3,91.54,4,2031-07-28,Vendedor 1
3132,Produto C,Categoria 2,13.71,17,2031-07-29,Vendedor 3
3133,Produto B,Categoria 2,48.85,16,2031-07-30,Vendedor 3
3134,Produto C,Categoria 2,14.7,19,2031-07-31,Vendedor 3
3135,Produto C,Categoria 3,18.6,11,2031-08-01,Vendedor 2
3136,Produto A,Categoria 2,69.3,7,2031-08-02,Vendedor 1
3137,Produto C,Categoria 2,68.24,13,2031-08-03,Vendedor 3
3138,Produto C,Categoria 1,12.97,19,2031-08-04,Vendedor 2
3139,Produto B,Categoria 3,10.1,17,2031-08-05,Vendedor 3
3140,Produto A,Categoria 2,17.09,13,2031-08-06,Vendedor 2
3141,Produto A,Categoria 1,78.67,12,2031-08-07,Vendedor 1
3142,Produto A,Categoria 3,62.61,7,2031-08-08,Vendedor 2
3143,Produto C,Categoria 3,13.43,1,2031-08-09,Vendedor 2
3144,Produto A,Categoria 3,53.93,1,2031-08-10,Vendedor 3
3145,Produto C,Categoria 3,74.08,14,2031-08-11,Vendedor 2
3146,Produto C,Categoria 3,88.21,15,2031-08-12,Vendedor 3
3147,Produto B,Categoria 3,94.06,11,2031-08-13,Vendedor 2
3148,Produto B,Categoria 2,39.47,9,2031-08-14,Vendedor 1
3149,Produto B,Categoria 2,22.22,17,2031-08-15,Vendedor 2
3150,Produto B,Categoria 2,31.32,4,2031-08-16,Vendedor 3
3151,Produto B,Categoria 2,79.86,19,2031-08-17,Vendedor 2
3152,Produto C,Categoria 1,97.43,7,2031-08-18,Vendedor 2
3153,Produto C,Categoria 2,51.98,1,2031-08-19,Vendedor 1
3154,Produto A,Categoria 3,37.48,9,2031-08-20,Vendedor 3
3155,Produto C,Categoria 2,48.63,13,2031-08-21,Vendedor 1
